prompt,response
What is the `TE database` (TED)?,"A database maintained by each TE-enabled router, containing the full topology of the TE domain with all relevant link attributes."
How does `OSPF/IS-IS` populate the `TED`?,By extending their link-state advertisements (LSAs/LSPs) to carry TE-specific TLVs (Type-Length-Values) or Opaque LSAs.
What is the `protection type` in MPLS-TE FRR?,"Specifies whether to use link protection, node protection, or a combination."
What is `Shared Risk Link Group` (SRLG)?,"A set of links that share a common physical resource, such that the failure of that resource can affect all links in the group. MPLS-TE can be configured to avoid SRLGs for diverse paths."
What is `Controlling LSP bandwidth`?,"The process of setting up and managing bandwidth reservation for MPLS-TE LSPs, typically using RSVP-TE."
How does MPLS-TE impact router CPU and memory?,"It increases resource consumption due to the additional processes for RSVP-TE, CSPF calculations, and maintaining the TE database and multiple LSPs."
What is the `maximum number of hops` for an MPLS-TE LSP?,"While there's no strict protocol limit, practical limits are imposed by router capabilities and complexity of explicit path configuration (e.g., typically less than 100 hops)."
What does MP-BGP stand for?,MP-BGP stands for Multiprotocol BGP.
What is the primary purpose of MP-BGP?,"To enable BGP to carry routing information for multiple network layer protocols (e.g., IPv4, IPv6, VPNv4, VPNv6, EVPN) and different types of unicast or multicast routes."
How does MP-BGP relate to BGP-4?,"MP-BGP is an extension of BGP-4. BGP-4 laid the foundation, and MP-BGP added the capability to handle multiple 'address families'."
What is an 'address family' in MP-BGP?,"A grouping of protocol-specific information (e.g., IPv4 unicast, IPv6 unicast, VPNv4) that MP-BGP can exchange independently."
What are the two components that define an address family?,The AFI (Address Family Identifier) and SAFI (Subsequent Address Family Identifier).
What is AFI (Address Family Identifier)?,"A field in MP-BGP that identifies the network layer protocol (e.g., IPv4, IPv6)."
What is SAFI (Subsequent Address Family Identifier)?,"A field in MP-BGP that identifies the specific application or service for that AFI (e.g., unicast, multicast VPN, EVPN)."
Name some common AFI/SAFI combinations used in MP-BGP.,"IPv4 Unicast (AFI 1, SAFI 1), IPv6 Unicast (AFI 2, SAFI 1), VPNv4 (AFI 1, SAFI 128), VPNv6 (AFI 2, SAFI 128), EVPN (AFI 25, SAFI 70)."
What is `VPNv4` address family used for?,To exchange IPv4 routes specifically for MPLS Layer 3 VPNs between Provider Edge (PE) routers.
What is `VPNv6` address family used for?,To exchange IPv6 routes specifically for MPLS Layer 3 VPNs between Provider Edge (PE) routers.
How does MP-BGP support MPLS Layer 3 VPNs?,"It exchanges VPNv4/VPNv6 routes, which are IPv4/IPv6 prefixes combined with a Route Distinguisher (RD), among PE routers."
What is a Route Distinguisher (RD) in the context of MP-BGP?,"A 64-bit value prepended to an IPv4/IPv6 prefix to make it unique within the MPLS VPN service, even if multiple customers use overlapping IP address spaces."
What is a Route Target (RT) in the context of MP-BGP?,An extended BGP community attribute that controls which VPNv4/VPNv6 routes are imported into or exported from a specific VRF (VPN Routing/Forwarding) instance.
How do PEs use RTs for route exchange?,"A PE exports routes from a VRF with specific RTs, and another PE imports routes into a VRF that match its configured import RTs."
What is a VRF (VPN Routing/Forwarding) instance on a PE router?,"A virtual routing table that maintains a separate routing and forwarding instance for each VPN customer, isolating their traffic."
Does MP-BGP run on P (Provider) routers in an MPLS L3VPN?,"Typically no, P routers usually only run an IGP (like OSPF or IS-IS) and LDP. MP-BGP runs between PE routers."
What is `MP-BGP next-hop-self`?,"A command often configured between PE routers to ensure the next-hop for VPNv4/VPNv6 routes is the PE's loopback address, which is reachable via the MPLS core."
How does MP-BGP ensure VPN route isolation?,"Through the use of RDs and RTs, which ensure that VPN routes are only exchanged and installed into the correct VRF instances."
What is the `address-family` command used for in BGP configuration?,"To enable and configure specific address families (e.g., IPv4 unicast, IPv6 unicast, VPNv4) under the BGP process."
Can different BGP neighbors support different address families?,"Yes, a BGP neighbor relationship can be established for one address family (e.g., IPv4 unicast) and then extended to others (e.g., VPNv4) within the same session."
What is the `activate` command used for under an `address-family` stanza?,To enable the exchange of routing information for that specific address family with a particular BGP neighbor.
What is the `send-community extended` command often used for in MP-BGP?,"To ensure that extended BGP communities, such as Route Targets, are sent to BGP neighbors."
What is EVPN (Ethernet VPN)?,A Layer 2 VPN technology that uses MP-BGP to exchange MAC address and IP address reachability information over an MPLS or IP backbone.
Why is EVPN preferred over VPLS for some deployments?,"EVPN offers better control plane learning of MAC addresses (MP-BGP vs. data plane flood-and-learn), multi-homing support, and faster convergence."
What AFI/SAFI is used for EVPN?,"AFI 25 (Layer 2 VPN), SAFI 70 (EVPN)."
What information does MP-BGP carry for EVPN?,"MAC addresses, IP addresses associated with MACs, Ethernet Segment Identifiers (ESIs), and Route Targets."
What is an ESI (Ethernet Segment Identifier) in EVPN?,"A unique identifier for a multihomed Ethernet segment, used by MP-BGP to signal multi-homing information and provide loop prevention."
How does MP-BGP facilitate Multicast VPNs (MVPNs)?,"It is used to exchange multicast routing information between PE routers, creating separate multicast forwarding instances for each VPN."
What are the types of MVPNs using MP-BGP?,Rosen (mVPN Type 1-6) and Next Generation MVPN (NG-MVPN).
What AFI/SAFI is used for Multicast VPNs?,"Different SAFIs exist for MVPN, depending on the MVPN type (e.g., SAFI 129 for MVPN unicast, SAFI 130 for MVPN multicast)."
What is `BGP-Free Core` in the context of MP-BGP VPNs?,"An architecture where core P routers only run an IGP and LDP, while MP-BGP is only run on the PE routers at the edge."
How does MP-BGP handle IPv6 routing?,"It uses the IPv6 Unicast address family (AFI 2, SAFI 1) to exchange IPv6 prefixes among BGP routers."
Can MP-BGP carry both IPv4 and IPv6 routes simultaneously?,"Yes, within the same BGP session, by activating both `address-family ipv4 unicast` and `address-family ipv6 unicast`."
What is the role of `ORF` (Outbound Route Filtering) in MP-BGP?,"Allows a router to tell its BGP peer what prefixes it is interested in receiving, reducing the amount of routing information exchanged."
What are `VPNv4` and `VPNv6` often called?,`BGP VPN Label Unicast` or `labeled-VPN` address families.
What is the `VPN label` associated with VPNv4/VPNv6 routes?,A label used to forward traffic within the MPLS core to the correct VRF at the egress PE router.
What is `RT Constrain` in MP-BGP?,"A feature that limits the RTs that an MP-BGP speaker advertises to its peers, based on its local VRF configurations, reducing routing updates."
What is `Route Reflector` behavior for MP-BGP address families?,"A Route Reflector reflects routes for each configured address family (e.g., VPNv4 routes for VPNs, IPv6 routes for IPv6 Internet peers) to its clients."
What is the interaction between `MPLS-TE` and `MP-BGP VPNs`?,"MPLS-TE can be used to engineer the underlying transport paths for the VPN traffic carried by MP-BGP, ensuring QoS and specific paths."
What is the default next-hop for VPNv4/VPNv6 routes advertised by MP-BGP?,The loopback address of the advertising PE router.
What is the `next-hop-unchanged` option used for in MP-BGP?,"Prevents the next-hop attribute from being changed when advertising routes (e.g., in confederations)."
What are the troubleshooting commands for MP-BGP?,"`show ip bgp vpnv4 all`, `show bgp ipv6 unicast`, `show bgp l2vpn evpn`, `show bgp summary`, `debug bgp`."
What does `show ip bgp vpnv4 all` display?,The VPNv4 routing table for all VRFs on the router.
What does `show bgp l2vpn evpn` display?,"The EVPN routing table, showing MAC and IP routes exchanged via EVPN."
How does MP-BGP ensure proper traffic forwarding in MPLS VPNs?,"By distributing VPNv4/VPNv6 routes along with the correct VPN label, which steers traffic to the correct VRF at the egress PE."
What is `Auto-RD` and `Auto-RT` in some MP-BGP implementations?,"Features that automatically generate Route Distinguishers and Route Targets based on router ID or other parameters, simplifying configuration."
Can MP-BGP be used without MPLS?,"Yes, MP-BGP can carry different address families (like IPv6 unicast) over a pure IP network without MPLS labels."
What is the benefit of `Unified MP-BGP`?,"Managing various VPN types (L3VPN, L2VPN, MVPN) and unicast families (IPv4, IPv6) under a single BGP routing process."
What is `VPN Route Import/Export` in MP-BGP?,The process of using Route Target values to determine which VPN routes are allowed to enter or leave a specific VRF.
What is `Inter-AS MP-BGP VPN`?,"Extending MPLS VPNs across multiple Autonomous Systems, often using MP-BGP between ASBRs (Option B) or directly between PEs (Option C)."
What is `IPv4-mapped IPv6 address` in MP-BGP?,"A specific IPv6 address format that embeds an IPv4 address, used in some transition scenarios but not directly by standard MP-BGP address families."
What are `BGP extended communities` in MP-BGP?,Attributes like Route Targets and Site of Origin (SoO) that provide additional information for policy enforcement in VPNs and other services.
What is `Site of Origin` (SoO) in MP-BGP?,An extended BGP community used in multi-homed scenarios to prevent routing loops by ensuring traffic doesn't return to its originating site via a different PE.
How does MP-BGP handle `multicast routing` specifically?,It uses distinct address families and sometimes specific control plane mechanisms to establish multicast trees and forward multicast traffic within or between VPNs.
What is `BGP Link-State` (BGP-LS)?,"An MP-BGP address family that carries network topology information (links, nodes, TE attributes) to a centralized controller, useful for SDN and orchestration."
What AFI/SAFI is used for BGP-LS?,AFI 16388 (LS) and SAFI 4 (Link-State).
What is the advantage of BGP-LS over traditional IGPs for topology distribution?,"BGP-LS can carry topology information across AS boundaries and aggregate data for a global view, useful for path computation engines (PCEs)."
What is the `Advertise-Maps` command in MP-BGP?,A command used to control which specific routes (based on route-maps) are advertised within a particular address family.
How does MP-BGP support `Carrier Supporting Carrier` (CSC) scenarios?,"By creating nested VPNs, where a carrier's MPLS VPN service transports another carrier's MPLS VPN service, leveraging different VPNv4 instances."
What is the role of `BGP AS_PATH` in MP-BGP VPNs?,"The AS_PATH attribute is still used for loop prevention, but within the VPN context, it applies to the path taken within the VPN's logical topology."
What is `BGP `local-as` ` in MP-BGP configurations?,"Allows a router to appear in a different AS to an eBGP neighbor while still being part of its actual AS, useful in migration or complex peering."
What is `BGP `allowas-in` ` in MP-BGP configurations?,"Allows a router to accept routes that contain its own AS in the AS_PATH, typically for specific scenarios like multi-homed customers or confederations."
What is the `IPv4 Multicast` address family in MP-BGP?,"AFI 1, SAFI 2. Used to exchange IPv4 multicast routing information between BGP peers."
What is the `IPv6 Multicast` address family in MP-BGP?,"AFI 2, SAFI 2. Used to exchange IPv6 multicast routing information between BGP peers."
What is the benefit of using MP-BGP for service delivery?,"It provides a unified control plane for a wide range of services (L3VPN, L2VPN, multicast, IPv6) over a single backbone, simplifying operations and scaling."
What is `VPN-ID` in some MP-BGP contexts?,"An identifier for a VPN instance, often derived from the RD or RT, used for internal signaling or identification."
How does MP-BGP handle `route reflector` cluster IDs for different AFIs?,The Cluster ID is common to the BGP speaker and applies across all address families for which it acts as a Route Reflector.
What are the `BGP capabilities` negotiated during MP-BGP session establishment?,"BGP capabilities include support for specific address families, route refresh, and other extensions that peers agree upon."
What is the `BGP peer-group` feature in MP-BGP?,"Allows common configuration settings to be applied to a group of BGP neighbors, simplifying configuration for multiple address families."
What is `BGP Soft Reconfiguration` in MP-BGP?,"Allows a router to re-apply inbound policies without resetting the BGP session, refreshing the routes for the activated address families."
How is `BGP best path selection` affected by MP-BGP?,"The best path algorithm runs independently for each active address family, selecting the best path for IPv4 unicast routes, VPNv4 routes, etc."
What is `MP-BGP for Data Center Interconnect (DCI)`?,"EVPN is often used with MP-BGP for DCI to provide Layer 2 and Layer 3 connectivity across data centers, enabling workload mobility."
What is the concept of `Any-VRF` in some MP-BGP implementations?,A feature that allows simplified VRF configuration and dynamic creation based on received VPN routes and RTs.
How does MP-BGP simplify routing for IPv6 in large networks?,"It provides a scalable and robust mechanism to exchange IPv6 prefixes globally, leveraging the existing BGP infrastructure."
What is a Layer 2 VPN (L2VPN)?,"A service that extends Layer 2 connectivity (e.g., Ethernet, Frame Relay, ATM) over a packet-switched network (PSN), typically an MPLS backbone, making geographically separated sites appear as if they are on the same local network."
What is a 'Pseudowire' (PW)?,"A virtual circuit or tunnel that emulates a point-to-point Layer 2 service (like Ethernet, Frame Relay, ATM, or TDM) over a packet-switched network, typically an MPLS network."
What does PWE3 stand for?,Pseudowire Emulation Edge to Edge.
What are the two main types of pseudowire signaling protocols?,LDP (Label Distribution Protocol) for Martini pseudowires and BGP (Border Gateway Protocol) for Kompella pseudowires.
What is a 'Martini Pseudowire'?,"A pseudowire signaled using LDP, often simpler for point-to-point connections."
What is a 'Kompella Pseudowire'?,"A pseudowire signaled using BGP, often used for more complex scenarios, especially within MPLS Layer 2 VPNs leveraging auto-discovery."
What is 'VPWS' (Virtual Private Wire Service)?,"A Layer 2 VPN service that provides point-to-point connectivity between two customer sites over an MPLS network, effectively a single pseudowire."
What is 'EoMPLS'?,"Ethernet over MPLS, a common implementation of VPWS where Ethernet frames are encapsulated and carried over an MPLS pseudowire."
What is 'VPLS' (Virtual Private LAN Service)?,"A Layer 2 VPN service that provides multipoint-to-multipoint (any-to-any) connectivity between multiple customer sites, making them all appear to be on the same Ethernet LAN."
How does VPLS differ from VPWS?,"VPWS is point-to-point, emulating a dedicated wire. VPLS is multipoint-to-multipoint, emulating a shared Ethernet switch or LAN segment."
What is the main advantage of VPLS over VPWS?,"VPLS allows all connected sites to communicate directly with each other as if they were on a single LAN, simplifying customer IP addressing and routing."
What are the key components of an L2VPN architecture?,"Customer Edge (CE) devices, Provider Edge (PE) routers, and Provider (P) routers in the core."
What is the role of the PE router in L2VPNs?,"To connect CE devices, encapsulate/decapsulate Layer 2 traffic, and forward it over the MPLS backbone via pseudowires."
What is the role of the P router in L2VPNs?,"To provide MPLS label switching services in the core, forwarding packets based on inner and outer labels, typically without knowledge of the L2VPN service itself."
How does a pseudowire encapsulate Layer 2 traffic?,It adds a pseudowire header (containing a demultiplexer label) and an MPLS transport label header to the Layer 2 frame before sending it over the MPLS core.
What are the two types of labels used in a pseudowire?,"A 'transport label' (outer label) for routing across the MPLS backbone, and a 'VPN label' or 'pseudowire label' (inner label) to identify the specific pseudowire at the egress PE."
Is a pseudowire label locally significant or globally significant?,Locally significant. Each PE assigns its own pseudowire label for a given pseudowire and advertises it to its peer.
How are pseudowires signaled using LDP (Martini)?,LDP extensions (FEC elements) are used to exchange pseudowire labels and other parameters between directly connected or targeted LDP peers.
How are pseudowires signaled using BGP (Kompella)?,"MP-BGP (Multiprotocol BGP) with a specific L2VPN address family (AFI 25, SAFI 70 for EVPN) is used to exchange pseudowire signaling information and auto-discovery."
What is a 'Virtual Forwarding Instance' (VFI) in VPLS?,"A logical construct on a PE router that acts like a virtual Ethernet switch, managing MAC addresses and forwarding decisions for a VPLS instance."
How does VPLS handle MAC address learning?,"Similar to a physical Ethernet switch, VPLS PEs learn MAC addresses from customer traffic and populate their VFI's forwarding table."
What happens to unknown unicast, broadcast
What is 'Split Horizon' in VPLS?,A mechanism to prevent forwarding loops by preventing packets received on one pseudowire from being forwarded out another pseudowire within the same VPLS instance (full mesh logic).
What is the `VC ID` (Virtual Circuit ID) in pseudowire signaling?,"A unique identifier for a pseudowire, used by LDP to identify the specific emulated service."
What is `VC Type` in pseudowire signaling?,"Identifies the type of Layer 2 encapsulation (e.g., Ethernet, Frame Relay, ATM) being carried over the pseudowire."
Can different Layer 2 technologies be emulated over the same pseudowire?,"No, a single pseudowire emulates one specific Layer 2 technology (e.g., Ethernet PW cannot carry Frame Relay)."
What are the benefits of L2VPNs for customers?,"Transparency (customer controls routing/IP addressing), cost-effectiveness (shared infrastructure), scalability, and flexibility to connect diverse sites."
What are the benefits of L2VPNs for service providers?,"Simplified provisioning, leveraging existing MPLS backbone, differentiated services, and secure multi-tenancy."
What is `Hierarchical VPLS` (H-VPLS)?,"A VPLS deployment model that uses a hierarchy of PEs (e.g., User-facing PEs, Network-facing PEs) to improve scalability and reduce the number of pseudowires in a full mesh."
What is a `Spoke-SDP` in H-VPLS?,A pseudowire connection from a User-facing PE (U-PE) to a Network-facing PE (N-PE).
What is a `Mesh-SDP` in H-VPLS?,"A pseudowire connection between N-PEs, forming a full mesh."
What is `VPLS multi-homing`?,Connecting a customer site to two or more PE routers to provide redundant access to the VPLS service.
What are the common VPLS multi-homing mechanisms?,"Active/standby redundancy, or active/active (using protocols like Ethernet Segment Identifier - ESI or Virtual Ethernet Segment - VES)."
What are the scaling challenges of traditional VPLS (full mesh)?,"The 'N-squared' problem: as N (number of PEs) increases, the number of pseudowires (N*(N-1)/2) grows quadratically, leading to high control plane load."
How does EVPN address VPLS scaling issues?,"EVPN uses MP-BGP for MAC address learning and distribution (control plane learning), reducing flooding and improving convergence compared to VPLS's data plane learning."
What is the role of `MAC address withdrawal` in VPLS?,"When a MAC address ages out or is detected elsewhere, the PE floods a MAC withdrawal message to peers to update their forwarding tables."
What is `MAC address mobility` in VPLS?,"The ability for a MAC address to move between different attachment circuits or PEs within the same VPLS, requiring MAC update floods."
How is QoS handled in L2VPNs?,"By mapping Layer 2 QoS markings (e.g., 802.1p CoS, IP DSCP) to MPLS EXP bits on the pseudowire, and then implementing QoS policies on the underlying MPLS transport network."
What is `pseudowire aggregation`?,A technique where multiple customer pseudowires are multiplexed onto a single transport tunnel to improve scalability or efficiency.
Can pseudowires be used with MPLS Traffic Engineering (TE)?,"Yes, the underlying MPLS transport tunnels for pseudowires can be TE LSPs, allowing traffic to be routed over engineered paths."
What are common troubleshooting steps for pseudowires?,"Check PE-CE connectivity, verify pseudowire status (`show mpls l2vc`), check transport LSP status, verify label exchange (LDP/BGP), check MTU."
What are common troubleshooting steps for VPLS?,"Verify VFI configuration, check MAC address tables (`show vpls mac-address-table`), check pseudowire status, ensure split-horizon is correctly applied, verify RT/RD for BGP-signaled VPLS."
What is `Martini model` for L2VPNs?,"Refers to LDP-signaled pseudowires (RFC 4447), often simpler and more common for basic point-to-point services."
What is `Kompella model` for L2VPNs?,"Refers to BGP-signaled L2VPNs (RFC 6624), providing"
What is Layer 2 Switching?,Layer 2 switching is the process of forwarding data frames between devices on the same local network (LAN) based on their MAC addresses.
What is a MAC address?,"A Media Access Control (MAC) address is a unique, hardware-burned-in, 48-bit (6-byte) physical address assigned to network interfaces (NICs)."
What is the primary function of a Layer 2 switch?,"To learn MAC addresses of connected devices and forward frames only out of the specific port leading to the destination MAC address, preventing unnecessary flooding."
What is a MAC address table (or CAM table)?,A table maintained by a switch that stores the mapping between MAC addresses and the switch ports where those devices are connected.
How does a switch learn MAC addresses?,By inspecting the source MAC address of incoming frames and associating it with the ingress port.
What happens if a switch receives a frame with an unknown destination MAC address?,It floods the frame out of all ports except the one it was received on.
What is a broadcast domain?,A network segment where any broadcast frame sent by a device is received by all other devices in that segment.
What is a collision domain?,"A network segment where data packets can collide with one another, requiring devices to retransmit. Modern switches typically eliminate collision domains (one per port)."
What does VLAN stand for?,VLAN stands for Virtual Local Area Network.
What is a VLAN?,"A logical grouping of network devices (hosts) that are in the same broadcast domain, regardless of their physical location on the network."
What is the primary purpose of VLANs?,"To break up large broadcast domains into smaller, more manageable ones, improving network performance, security, and flexibility."
How are VLANs implemented on a switch?,By assigning switch ports to specific VLAN IDs.
What is an 'Access Port' in VLANs?,A switch port that is configured to belong to a single VLAN and carries traffic only for that VLAN (untagged frames).
What is a 'Trunk Port' in VLANs?,"A switch port that is configured to carry traffic for multiple VLANs simultaneously, typically between switches or between a switch and a router."
What protocol is used for VLAN tagging on trunk ports?,IEEE 802.1Q.
What is 802.1Q tagging?,"A standard that adds a 4-byte tag to the Ethernet frame header, indicating the VLAN ID to which the frame belongs."
What is the 'Native VLAN' on an 802.1Q trunk?,The VLAN whose traffic is sent untagged over the trunk link. All other VLAN traffic is tagged.
What happens if frames from the Native VLAN on one side of a trunk are tagged?,"A native VLAN mismatch occurs, potentially leading to frames being dropped or misrouted."
What is a 'Voice VLAN'?,A feature that allows an IP phone to reside in a separate VLAN (for voice traffic) while a PC connected to the phone's built-in switch port resides in another VLAN (for data traffic).
What is 'Inter-VLAN Routing'?,"The process of routing traffic between different VLANs, typically performed by a Layer 3 switch or a router."
What is 'Router on a Stick'?,"A method of inter-VLAN routing using a single physical router interface connected to a trunk port on a switch, with sub-interfaces configured for each VLAN."
What is 'STP' (Spanning Tree Protocol)?,A network protocol (IEEE 802.1D) that prevents Layer 2 loops in switched networks by logically blocking redundant paths.
Why are Layer 2 loops dangerous?,"They cause broadcast storms, MAC address table instability, and multiple frame copies, leading to network meltdown."
What is a 'Root Bridge' in STP?,"The central switch in a spanning tree topology, elected based on the lowest Bridge ID (BID)."
What is a 'Bridge ID' (BID) in STP?,"A combination of the bridge priority (configurable) and the switch's MAC address, used to elect the Root Bridge."
What is the default bridge priority in STP?,32768
How is the Root Bridge elected if priorities are equal?,The switch with the lowest MAC address wins the election.
What is a 'Root Port' in STP?,The single port on a non-Root Bridge switch that has the best path to the Root Bridge.
What is a 'Designated Port' in STP?,The port on a segment that has the best path to the Root Bridge. All non-Root Bridge ports on a segment are Designated Ports.
What is a 'Blocking Port' in STP?,"A port that is logically shut down by STP to prevent loops, not forwarding user traffic but still listening for BPDUs."
What are 'BPDUs' (Bridge Protocol Data Units)?,Data frames exchanged by switches to communicate STP topology information and elect the Root Bridge.
What is 'Convergence' in STP?,"The process by which all switches in a network agree on the loop-free topology after a change (e.g., link failure or new switch)."
What are the STP port states?,"Blocking, Listening, Learning, Forwarding, Disabled."
What is 'Blocking' state?,Port receives BPDUs but does not forward user traffic or learn MAC addresses. Prevents loops.
What is 'Listening' state?,"Port sends and receives BPDUs, no user traffic, no MAC learning. Transitioning to find active paths."
What is 'Learning' state?,"Port sends/receives BPDUs, no user traffic, but learns MAC addresses. Populating MAC table."
What is 'Forwarding' state?,"Port sends/receives BPDUs, forwards user traffic, and learns MAC addresses. Normal operation."
What is 'Disabled' state?,Port is administratively shut down and does not participate in STP.
What are `Max Age`, `Hello Time`
What is PVST (Per-VLAN Spanning Tree)?,"A Cisco proprietary version of STP that runs a separate instance of the STP algorithm for each VLAN, allowing for independent root bridge elections and path optimizations per VLAN."
What is the main advantage of PVST?,It allows for load balancing of traffic across redundant links by allowing different VLANs to use different paths.
What is the main disadvantage of PVST?,"It consumes more CPU and memory resources on switches as the number of VLANs increases, due to multiple STP instances."
What is PVST+ (Per-VLAN Spanning Tree Plus)?,An enhancement to PVST that supports interoperability with IEEE 802.1D (Common Spanning Tree) by sending both 802.1D and PVST BPDUs.
What is the primary benefit of PVST+ over PVST?,"Interoperability with standard 802.1D STP domains, allowing seamless integration in mixed vendor environments."
What is RSTP (Rapid Spanning Tree Protocol - IEEE 802.1w)?,An evolution of STP designed for faster convergence (typically in milliseconds) by introducing new port roles and states.
What are the new port roles in RSTP?,"Root Port, Designated Port, Alternate Port, Backup Port."
What is an 'Alternate Port' in RSTP?,"A port that provides a redundant path to the Root Bridge, automatically transitioning to forwarding if the Root Port fails."
What is a 'Backup Port' in RSTP?,"A port on a Designated Bridge that provides a redundant path to a segment, useful if the Designated Port fails."
What is MST (Multiple Spanning Tree - IEEE 802.1s)?,"An STP standard that maps multiple VLANs to a single spanning tree instance, reducing resource consumption while still allowing for load balancing."
What is an 'MST Region'?,"A collection of MST-enabled switches that share the same MST configuration (region name, revision number, VLAN-to-instance mapping)."
What is an 'MSTI' (Multiple Spanning Tree Instance)?,A specific spanning tree instance within an MST region that groups multiple VLANs and runs a single STP calculation for them.
What is the 'CIST' (Common and Internal Spanning Tree)?,"A single STP instance that runs throughout the entire bridged network (including multiple MST regions and 802.1D/PVST+ domains), ensuring overall loop prevention."
What is the 'IST' (Internal Spanning Tree)?,The default MSTI (MSTI 0) within an MST region that connects all MSTIs and acts as the bridge to the CIST.
What is the main advantage of MST over PVST/PVST+?,"Reduced CPU/memory overhead by grouping VLANs into instances, offering better scalability for large networks with many VLANs."
How does MST provide load balancing?,"By mapping different groups of VLANs to different MSTIs, and then having different MSTIs elect different Root Bridges or Designated Ports."
What is `BPDU Guard`?,"A Cisco feature that immediately puts a port into an error-disabled state if it receives a BPDU, typically used on access ports to prevent rogue switches."
What is `PortFast` (or Edge Port in RSTP)?,"A Cisco feature that immediately transitions a port to the forwarding state, bypassing listening and learning, typically used on end-device ports (e.g., PCs, servers)."
What is `UDLD` (UniDirectional Link Detection)?,"A protocol that monitors physical links for unidirectional communication, which can cause STP loops if not detected."
What is `Loop Guard`?,"A Cisco feature that puts a port into a loop-inconsistent state if it stops receiving BPDUs on a non-designated port, preventing loops caused by unidirectional links or lost BPDUs."
What is `Root Guard`?,"A Cisco feature that prevents a port from becoming a Root Port, ensuring that a designated switch remains the Root Bridge for its VLANs or region."
What is the default STP mode on Cisco switches?,PVST+.
How do you change the STP mode on a Cisco switch?,Using the `spanning-tree mode [pvst | rapid-pvst | mst]` command.
What command is used to configure VLANs on a Cisco switch?,`vlan [vlan-id]`.
What command is used to assign a port to an access VLAN?,`switchport mode access` and `switchport access vlan [vlan-id]`.
What command is used to configure a trunk port?,`switchport mode trunk` and `switchport trunk encapsulation dot1q`.
What command is used to allow specific VLANs on a trunk?,`switchport trunk allowed vlan [vlan-list]`.
How do you check the VLAN configuration on a switch?,`show vlan brief`.
How do you check the STP status on a switch?,`show spanning-tree [vlan <vlan-id>]`.
What are common troubleshooting issues for VLANs?,"VLAN ID mismatches on trunks, native VLAN mismatches, incorrect port assignments, inter-VLAN routing misconfigurations."
What are common troubleshooting issues for STP?,"Root Bridge election issues, blocked ports not as expected, port state transitions, BPDU loss, unidirectional links."
What is a `MAC flapp`?,"When a MAC address is learned on multiple ports in rapid succession, indicating a Layer 2 loop or misconfiguration."
What is `VTP` (VLAN Trunking Protocol)?,"A Cisco proprietary protocol used to manage VLAN creation, deletion, and naming across multiple switches from a centralized point."
What are the VTP modes?,"Server, Client, Transparent."
What is the primary concern with VTP?,A misconfigured VTP server or client can erase or add incorrect VLANs across an entire network.
Does 802.1Q tag the Native VLAN traffic?,"No, by default, Native VLAN traffic is untagged on 802.1Q trunks."
What is `STP Cost`?,A value assigned to each link (port) that determines the path to the Root Bridge. Lower cost is preferred.
How is STP Cost determined?,"By link bandwidth. Lower bandwidth (e.g., 10 Mbps) has higher cost than higher bandwidth (e.g., 1 Gbps)."
What is `PVRST`?,"Per-VLAN Rapid Spanning Tree, Cisco's implementation of RSTP per VLAN, offering faster convergence than PVST+ while maintaining per-VLAN load balancing."
What are the benefits of `EtherChannel` (or Link Aggregation) with STP?,"It bundles multiple physical links into a single logical link, increasing bandwidth and providing redundancy without being blocked by STP."
What is AWS VPC Peering?,A networking connection between two VPCs that enables you to route traffic between them privately using private IP addresses. VPCs can be in the same or different AWS accounts/Regions.
What is the key limitation of VPC Peering?,"It is non-transitive, meaning if VPC A is peered with VPC B, and VPC B is peered with VPC C, VPC A cannot directly communicate with VPC C via VPC B."
What is AWS Transit Gateway (TGW)?,"A network transit hub that connects your VPCs and on-premises networks to a single gateway, simplifying network architecture and enabling central management of routing."
What problem does Transit Gateway solve compared to VPC Peering?,"It overcomes the non-transitive limitation of VPC peering, allowing any attached VPC or on-premises network to communicate with any other attached network through the TGW."
What are 'Transit Gateway Attachments'?,"Connections from VPCs, VPNs, or Direct Connect Gateways to the Transit Gateway."
What are 'Transit Gateway Route Tables'?,"Logical routing tables associated with TGW attachments, defining how traffic is routed between connected networks within the TGW."
Can you isolate traffic using Transit Gateway?,"Yes, by creating multiple Transit Gateway Route Tables and associating different attachments with them, similar to VRFs."
What is AWS Direct Connect (DX)?,"A cloud service solution that links your internal network to AWS Direct Connect locations over a dedicated network connection, bypassing the public internet."
What are the benefits of AWS Direct Connect?,"Reduced network costs, increased bandwidth throughput, and a more consistent network experience compared to internet-based connections."
What are the types of Direct Connect connections?,Dedicated Connection (physical ethernet port) and Hosted Connection (via an AWS Direct Connect partner).
What is a 'Virtual Interface' (VIF) in Direct Connect?,"A logical interface configured on a Direct Connect connection to access AWS services. Types include Public VIF, Private VIF, and Transit VIF."
What is a 'Public VIF' used for?,"To access public AWS services (like S3, DynamoDB, EC2 public IPs) over the Direct Connect connection."
What is a 'Private VIF' used for?,To access private IP addresses within a single VPC over the Direct Connect connection.
What is a 'Transit VIF' used for?,"To access multiple VPCs connected to a Direct Connect Gateway, which is then associated with a Transit Gateway."
What is an 'AWS Direct Connect Gateway'?,A globally available resource that allows you to connect your Direct Connect connection to multiple VPCs in different AWS Regions via a Transit Gateway.
